raw_question,correct_answer
Which was the first US City to host the Summer Olympics?,"['Missouri St. Louis', 'Missouri Saint Louis', 'St-Louis', 'St. Louis, Mo', 'Saint Louis (Mo.)', 'St. Louis Missouri', 'St Louie', 'UN/LOCODE:USSTL', 'St. Louis (MO)', 'St Louis, MO', 'St. Lewis, Missouri', 'St, Louis, Missouri', 'Saint Louis, MO', 'St Louis', 'St. Louise, Missouri', 'Saint Louis Missouri', 'St.Louis', 'St. Louis, MO', 'St Louis Missouri', 'City of Saint Louis', 'St. Louie', 'St.Louis Missouri', 'St.Louis, MO', 'St Louis, Missouri', 'St.Louis, Missouri', 'St Louis, Mo', 'St louise', 'St. louis mo', 'Saint Louis (Missouri)', 'St louis', 'St. Louis, Missouri', 'St, Louis, MO', 'Rome of the West', 'Saint Louis City, Missouri', 'Saint Louie', 'StLouis', 'SAINT LOUIS MO 631xx', 'St. Louis City', 'Saint louis, mo', 'St Louis (MO)', 'St. Louis, USA', 'Saint Louis City', 'City of St. Louis', 'Saint Louis, Mo.', 'St. Louis City, Missouri', 'St. Louis', 'Southern Railway (St. Louis)', 'St. Lewis, MO', 'City of St. Louis, Missouri', 'St, Louis', 'St louis, mo', 'St. Louis, Missouri, USA', 'St.Louis, Mo.', 'St. Louis, Missouri, United States', 'Saint Louis, USA', 'Saint Louis, Missouri', 'St. Louis, Mo.', 'ST LOUIS']"
"Who is missing from this list - 'Dancer', 'Dasher', 'Donner' ,Blitzen', 'Vixen', 'Prancer' and 'Comet'?","['Cupid (holiday character)', ""'CUPID'"", ""Cupid's arrow"", 'Cupid']"
Who is the presenter of Sounds of the Sixties on BBC Radio 2?,['Brian Matthew']
"""Where was """"the Aberfan Disaster"""" where the collapse of a colliery spoil-tip in 1966 killed 144 people, including 116 children?""","['Welsh nation', 'Climate of Wales', 'Autonomous Province of Wales', 'Cymru / wales', 'Cyrmu', 'Wales', 'WALES', 'Rain in Wales', 'Welsh Nation', 'Welsh Peninsula', 'Wales, UK', 'Etymology of Wales', 'Cymru', 'Wales, United Kingdom', 'Pays de Galles', 'Communications in Wales', 'The Principality of Wales', 'West of the Rhymney', 'Wales, U.K.', 'Cymru am byth', 'Gymru', 'Cymru / Wales', 'Welsh mountains', 'CYMRU']"
George Entwistle became director general of which global corporation in Sept 2012?,"['Auntie Beeb', 'The bbc', 'Creative future', 'Beebies', 'The British Broadcasting Corporation', 'Bbc', 'British broadcasting channel', 'B B C', 'BBC Licence and Agreement', 'B. B. C.', 'British broadcasting corporation', 'The B B C', 'British Broadcasting Corportation', 'BBC 3D', 'The B.B.C.', 'British Broadcasting Corporation (BBC)', 'BBC Sponsor', 'British Broadcasting Co', 'BBC', 'BBC (TV channel)', 'BBC review', 'British Broadcasting Corp', 'Bbc.co.uk/cbbc/games/', 'BBC UK', 'The BBC', 'BBC Charter Review', 'B.B.C.', 'The B. B. C.', 'British Broadcasting Cooperation', ""BBC's"", '.bbc', 'British Broadcasting Corporation', 'British Broadcasting Corp.', 'BBC Review', 'British Brodcasting Corporation', 'British Broadcast Corporation']"
"The 1940 movie The Philadelphia Story starring Cary Grant, Katherine Hepburn and James Stewart was remade in 1956 as which musical?","['High Society (Album)', 'High Society (album)', 'HIGH SOCIETY', 'High society (disambiguation)', 'High society', 'High Society (film)', 'High Society']"
In 1974 into which newly born county was Middlesbrough included,"[""The Rock 'n' Roll Capital of the World"", 'Cleveland, Cuyahoga, Ohio', 'Cleveland, Ohio', 'Clevelnad', 'The Cleve', 'Government of Cleveland, Ohio', 'Cleveland, Ohio, US', 'Cleaveland', 'Urban community school', 'Ohio Cleveland', 'Cleveland, Ohio, USA', 'Cleveland, Ohio, U.S.A.', 'Cleveland, OH.', 'Sixth City', 'Cleveland, oh', 'UN/LOCODE:USCLE', 'Cleveland,ohio', 'The Rock and Roll Capital of the World', 'Cleveland, USA', 'Poznan, Ohio', 'Cleveland Ohio', 'Cleveland (OH)', 'Sister Cities of Cleveland, Ohio', 'Cleveland, Ohio, U.S.', 'Cleveland, Oh', 'Cleveland (Ohio)', 'Government of Cleveland', 'Sister cities of Cleveland, Ohio', 'Urban Community School', 'Cleveland, ohio', 'Cleveland', 'Cleveland, OH']"
Whose 2015 album is 'Purpose'?,"['Bieber Fever', 'Ж. Бибер', 'Justin Bieber on Twitter', 'Justin biber', 'Belieber', 'Biebermania', 'Justin Bieber: First Step 2 Forever: My Story', 'Justin Drew Bieber', '@Justinbieber', 'Justin bieber', ""Justin Bieber's hair"", 'Kidrauhl', 'J. Biebs', 'Personal life of Justin Bieber', 'J.Biebs', 'Justin Bieber', 'Justin Drew bieber', '@justinbieber', 'JB (Canadian singer)', 'Justin beiber', 'Bieber', 'Biebs', 'Beiber', 'Justin biebr', 'Turkish Beliebers', 'Justin Biebe', 'Justin Beber', 'Justin Beiber', 'Looking For You', 'Justin Beebar', 'The Bieb', 'Justin Beeber', 'Bieber Mania', 'Twitter page of Justin Bieber', 'Bieber (singer)', 'JBieber', 'Beliebers', ""Justin Bieber's live performances""]"
The President of the USA sometimes travels in Marine One what kind of vehicle is this?,"['🚁', 'Helicopters', 'Civilian helicopter', 'Pescara (helicopter)', 'Cargo helicopter', 'Copter', 'Helecopter', 'List of deadliest helicopter crashes', 'Helichopper', 'Helocopter', 'Cargo Helicopter', 'Helicopter', 'Helicoptor', 'Anatomy of a helicopter']"
In which London art gallery will you find the greatest number of J M W Turner paintings?,"['Vernon Gallery', 'Tate Museum', 'National Gallery of British Art', 'Tate (London)', 'The Tate', 'Tate', 'The Tate gallery', 'Tate.org', 'Tate and Tate Modern', 'Tate Collection', 'Tate Gallery, London', 'Tate Online', 'Tate Galleries', 'Tate Gallery', 'Sheepshanks Collection', 'Tate gallery', 'Tate in Space', 'Tate (gallery)']"
"Jon Snow was killed off in what series in 2015, adapted from GRR Martin's 'A Song of Ice and Fire'?","['A Game of Thrones (TV series)', 'Game of Thrones (series)', 'Game of Thrones', 'Game of thrones tv series', 'Inside HBO’s Game Of Thrones', 'A Song of Ice and Fire (TV series)', 'Game Of Thrones', ""Inside HBO's Game of Thrones"", 'Game of Thrones (TV series)', 'School of Thrones', 'Game of thrones']"
"Which ancient Greek mathematician, known as 'The Father Of Geometry', wrote the hugely influential book 'Elements' that dominated European mathematics until the 19th century?","['Euclid Of Alexandria', 'Euclid of Alexandria', 'Euklid', 'Euclides', 'EUCLID', 'Εὐκλείδης', 'EucliD', 'Eukleidēs', 'Euclid', 'Evclid']"
"""Who composed the scores for the Alfred Hitchcock movies """"North By Northwest"""" and """"Psycho""""?""","['Bernard Herrmann', 'Bernard Herrman', 'Bernard Herman', 'Bernard Hermann']"
Which US film director and actor said he wanted to ‘Achieve immortality through not dying’?,"['Allen Stewart Konigsberg', 'Sunyi Previn', 'Allen S. Konigsberg', 'Allen, Woody', 'Heywood Allen', '%22Woody%22 Allen', 'Woody Allen', 'Soon-yi Previn', 'Sun-Yi Previn', 'Allan Stewart Konigsberg', 'Sun Yi Previn', 'Soon-Yi Farrow Previn', 'Soon Yi Previn', 'Soon-Yi Previn', 'Allen S Konigsberg', 'Soon-Yi', 'Soon Yi-Previn', 'Untitled Woody Allen project', 'Woddy Allen', 'Soon-Yi Farrow', 'Woody Allan', 'Soon-Yi Allen', 'Allan Konigsberg', 'Allen Konigsberg', 'Woody allen', 'Soon Yi', 'Woodie Allen']"
"What is the capital of Queensland, Australia?","['Brisbane City', 'Historic Buildings of Brisbane, Queensland', 'Brisbane Architecture (Queensland)', 'Edenglassie', 'Brisbane, AU-QLD', 'Brisbane, QLD', 'Eastern Suburbs (Brisbane)', 'Brizbane', 'Brissy', 'Brisbane Historical Buildings', 'Notable buildings and structures in Brisbane', ""Brisbane's sister cities"", ""Brisbane's"", 'Brisbane heritage', 'Brisbane, Queensland, Australia', 'Brisbane city streets', 'Drisbane', 'Brisbane entertainment and music', 'Bris Vegas (term)', 'Brisbane (Australia)', 'Bris Vegas', 'Brisneyland', 'Brisebane, Australia', 'Streets of Brisbane', 'Brisbanian', 'Brisbane, Australia', 'Important Buildings of the City of Brisbane, Queensland', 'Brisbane culture and arts', 'Brisbane City QLD', 'Scene around Brisbane, Queensland', 'Brisbane Metropolitan Area', 'List of Brisbane landmarks', 'Brisbane sport', 'Edenglassie, Queensland', 'Brisbane music groups', 'Brisbane', 'Brisvegas', 'Brisben', 'Brisbane roads, seaports and airports', 'Brizben', 'Historical Buildings of Brisbane, Queensland', 'UN/LOCODE:AUBNE', 'Brisbane, Queensland', 'Brisbanite']"
American millionaire Leonard Jerome was the grandfather of which British Prime Minister?,"['Tango (cat)', 'Death and state funeral of Winston Churchill', 'Churchillian', 'State funeral of Winston Churchill', 'Sir Winston Leonard Spencer-Churchill', 'Marigold Frances Churchill', 'Sir winston hcurchill', 'Winston Leonard Spencer', 'Winston Spencer', 'Winston Spencer-Churchill', 'Sir Churchill', 'Marigold Churchill', 'Winnie Churchill', 'Winston Churchill MP', 'Winston churchill', 'Prime Minister Churchill', 'W. Churchill', 'Winston Leonard Churchill', 'Churchill, W. S.', 'Sir Winston', 'W. S. Churchill', 'Winston churchilll', 'The Focus', 'Winston Churchill', 'The Honourable Sir Winston Spencer Churchill', 'Sir Winston Churchill', 'WINSTON CHURCHILL', 'Winston churchhill', 'Sir Winston Leonard Spencer Churchill', 'Churchill', 'Winston Spencer Churchill', 'Churchill, Winston', 'Winston Leonard Spencer Churchill', 'Chuurchill', 'WL Spencer-Churchill', 'Winston Leonard Spencer-Churchill', 'Winston Churchil', 'Winston Churchhill', 'Colonel Warden']"
At which racecourse is the Eclipse Stakes run annually?,"['Sandown Park Racecourse', 'Sandown Park']"
Who gave 'Checkers' to the British nation to be used as the Prime Minister's official country residence. For a bonus point name the year?,['Lord Lee - 1921']
"In Greek mythology, whose wife was Clytemnestra ?","['Agamémnon', 'Agammenon', 'Ἀγαμέμνων', 'AGAMEMNON', 'Agamemmon', 'King Agamemnon', 'Agamenon', 'Agamemnon']"
Carcinoma is a type of what?,"['Cancer pathology', 'Deaths by cancer', 'Anti-cancer', 'Cancer (disease)', 'Cancerophobia', 'Malignant lesion', 'Cancer medication', 'Malignant tumors', 'Cancer signs', 'Malignant neoplasm', 'Invasive (cancer)', 'Malignant Neoplasms', 'Malignant growth', 'Sporadic cancer', 'Malignant cancer', 'Tumour virus', 'Cancer en cuirasse', 'Microtumor', 'Malignant neoplasms', 'Malignant tumour', 'Carcinophobia', 'Malignacy', 'Cancer patient', 'Epithelial cancers', 'Solid cancer', 'Cancers', 'Tumor medication', 'Malignant neoplastic disease', 'AIDS-related cancer', 'Invasive cancer', 'Cancer therapy', 'Cancerous tumor', 'Cancer', 'Financial toxicity', 'Cancer diagnosis', 'Cancer (medicine)', 'Malignant tumor', 'Cancerous', 'Borderline (cancer)', 'Signs of cancer', 'Malignancies', 'Cancer aromatase']"
Which Actor to play James Bond is the only one mentioned in text by Ian Flemming?,"['Bring On The Empty Horses', 'Round the Rugged Rocks', 'Bring on the Empty Horses', 'Go Slowly, Come Back Quickly', 'Niven, David', 'James David Graham Nevins', 'Primula Susan Rollo', 'Hollywood Raj', 'David niven', 'David Niven']"
"""Who said in 1998, """"The ball doesn't know how old you are?""""""","[""Mark O'Meara"", 'Mark omeara']"
Performers called benshi in Japan provided what service to film-goers particularly in the days of silent cinema?,['Live narration']
What type of creature is a taipan?,"['Snkae', 'Snakes', 'Serpentes', 'Serpentigenous', 'Snake anatomy', '🐍', 'Snakey', 'Snake diet', 'Snake locomotion', 'Serpentiform', 'Snake', 'Snake food', 'Snake (zoology)', 'Coronellidae', 'Snakiest']"
What is the word for a document issued by a political party before an election that sets out party policies?,"['Political Manifesto', 'Election manifesto', 'Electoral manifesto', 'Political manifesto', 'Manifesto', 'Manifestos', 'Election program', 'Election Manifesto']"
